2.25e-04-4.51e-05j,-1.19e-05-1.67e-07j,1.67e-04-1.26e-04j,4.31e-05-1.60e-05j,4.59e-05+2.72e-05j,-2.52e-05-2.00e-05j,-6.42e-05-3.08e-05j,1.31e-06+0.00e+00j
-4.82e-05+4.74e-05j,-7.96e-07-4.29e-05j,2.37e-05+1.58e-05j,7.57e-05+2.75e-05j,-1.58e-06+5.07e-05j,-2.45e-05-2.31e-06j,-2.35e-05+9.29e-05j,1.31e-06+0.00e+00j
-1.00e-04+2.24e-04j,9.16e-05-1.90e-04j,-1.38e-04-1.09e-04j,9.38e-06-4.52e-05j,6.86e-06+4.51e-05j,1.19e-05-3.70e-06j,-4.05e-05-4.08e-05j,1.31e-06+0.00e+00j
-1.38e-05+8.98e-05j,-1.56e-04+3.15e-05j,-1.68e-05-7.90e-05j,-3.26e-05+1.91e-05j,1.04e-05+1.29e-05j,-3.98e-05+7.76e-06j,5.28e-05+3.04e-05j,1.31e-06+0.00e+00j
4.56e-04-2.05e-05j,-1.41e-04-8.99e-05j,4.66e-04-4.05e-04j,8.41e-05-1.17e-04j,-6.45e-05-9.44e-05j,-2.68e-05-8.51e-05j,-9.03e-06+3.07e-05j,1.31e-06+0.00e+00j
-1.42e-05+4.67e-06j,-1.04e-05-1.51e-05j,-9.79e-05-3.79e-05j,1.11e-04-2.26e-06j,1.01e-04+1.01e-04j,-4.74e-04-1.17e-03j,-9.90e-05+2.54e-05j,1.31e-06+0.00e+00j
8.12e-05-8.50e-05j,-1.51e-04-4.95e-04j,9.37e-06-1.28e-04j,-3.46e-05-9.89e-05j,2.51e-05+7.97e-06j,3.03e-05+1.72e-05j,-4.92e-05-6.37e-05j,1.31e-06+0.00e+00j
-9.15e-05+6.73e-05j,-5.02e-05+4.51e-05j,6.70e-05+4.35e-05j,-6.28e-05-3.12e-05j,-1.34e-04+2.97e-04j,-3.95e-05+5.00e-05j,-3.56e-06+5.87e-05j,1.31e-06+0.00e+00j
-3.49e-04-1.18e-04j,1.02e-05-1.53e-04j,6.20e-04+2.51e-03j,9.07e-06-1.65e-04j,-4.50e-05-5.18e-06j,7.04e-06+1.72e-04j,2.71e-05+2.24e-05j,1.31e-06+0.00e+00j
-4.94e-04+1.69e-04j,1.68e-04-1.29e-04j,7.41e-05-3.38e-04j,-4.74e-04-3.87e-04j,-3.08e-05+8.59e-05j,4.86e-05-3.41e-05j,-7.88e-06-5.39e-05j,1.31e-06+0.00e+00j
-7.02e-05+6.84e-06j,6.54e-05+3.43e-05j,-3.55e-06-4.64e-05j,5.89e-05-6.98e-05j,-2.54e-05-2.90e-05j,1.24e-04+8.81e-05j,1.92e-05+1.58e-05j,1.31e-06+0.00e+00j
4.40e-05+1.54e-04j,-3.48e-05+3.12e-05j,1.52e-04-4.41e-06j,3.81e-05+6.99e-05j,3.28e-04+5.33e-05j,-4.11e-05-4.62e-05j,-3.26e-05+4.61e-05j,1.31e-06+0.00e+00j
1.82e-04-5.50e-05j,-5.40e-05-1.48e-05j,-1.44e-05+1.40e-04j,4.55e-04-4.06e-05j,1.02e-05-8.38e-05j,2.17e-04-1.72e-04j,-2.70e-05+6.92e-05j,1.31e-06+0.00e+00j
3.78e-05-5.64e-05j,-6.23e-05-1.84e-05j,4.61e-04-1.42e-04j,-2.24e-05+3.49e-05j,-2.06e-04-1.17e-04j,1.33e-04-3.20e-04j,-3.12e-05-6.01e-05j,1.31e-06+0.00e+00j
-8.00e-05-5.59e-05j,-3.97e-05+3.67e-05j,6.14e-05+7.20e-05j,-7.19e-06+2.65e-05j,-2.35e-05-8.87e-05j,5.98e-05-4.53e-05j,-7.63e-05-3.44e-05j,1.31e-06+0.00e+00j
-4.33e-05-6.24e-05j,-1.52e-05+9.86e-05j,7.48e-06-1.78e-04j,-6.39e-06+8.54e-05j,-3.39e-05-1.52e-04j,-1.74e-04-2.94e-04j,-7.25e-06-6.68e-05j,1.31e-06+0.00e+00j
-1.03e-04-1.69e-04j,-3.76e-05-5.28e-05j,6.43e-05+4.11e-04j,-5.62e-05-8.38e-06j,-1.23e-04-8.15e-05j,-1.60e-05+2.84e-05j,-1.07e-05+7.03e-07j,1.31e-06+0.00e+00j
9.82e-05+3.13e-05j,-2.45e-05-6.35e-05j,4.38e-05+1.41e-05j,6.66e-05+6.89e-05j,-7.04e-05-9.83e-05j,1.55e-04+8.99e-05j,-7.98e-05+1.14e-04j,1.31e-06+0.00e+00j
-1.13e-04-6.30e-07j,2.09e-05+2.83e-05j,-7.81e-05+2.98e-05j,3.83e-05-6.02e-05j,-3.83e-05+2.23e-06j,2.94e-04-2.78e-04j,7.20e-05-3.04e-05j,1.31e-06+0.00e+00j
-2.31e-05+1.36e-05j,-4.37e-05+4.59e-05j,-4.52e-05+9.16e-07j,-3.55e-05+5.80e-05j,-8.60e-06-3.38e-05j,-1.87e-05-5.22e-06j,1.06e-05+1.30e-06j,1.31e-06+0.00e+00j
3.10e-05+9.90e-05j,2.96e-05-1.81e-05j,-2.61e-05-1.71e-05j,-9.33e-05+1.39e-06j,3.57e-05-2.41e-05j,-2.66e-05+7.42e-06j,-4.40e-05-2.46e-05j,1.31e-06+0.00e+00j
-2.27e-05-7.82e-05j,-5.95e-05-1.89e-06j,-2.42e-05-1.61e-05j,-4.01e-05-1.37e-04j,4.79e-05-5.18e-06j,2.29e-04+4.87e-04j,2.54e-07+3.52e-05j,1.31e-06+0.00e+00j
6.34e-05+4.16e-05j,1.13e-05-4.45e-05j,-1.97e-06+5.98e-05j,1.02e-05+9.42e-06j,-1.20e-04+3.33e-04j,-3.49e-05+3.73e-05j,-1.81e-05-9.21e-05j,1.31e-06+0.00e+00j
-7.69e-05-2.82e-06j,9.36e-06-2.53e-05j,-1.26e-04-6.38e-06j,5.53e-05-5.89e-05j,-1.98e-04+1.04e-03j,4.64e-06-8.05e-05j,3.34e-05-6.09e-05j,1.31e-06+0.00e+00j
1.58e-04+1.83e-05j,-9.53e-05-6.54e-05j,-2.01e-04-4.12e-04j,9.04e-05-8.52e-05j,-1.88e-04+1.56e-04j,2.50e-05+5.07e-05j,-1.53e-04-3.90e-06j,1.31e-06+0.00e+00j
-1.42e-04-5.45e-05j,2.13e-06+5.19e-05j,-9.89e-05+2.42e-05j,-3.37e-05+1.70e-05j,-5.00e-05-8.90e-07j,4.09e-05-4.19e-05j,1.12e-05-7.64e-06j,1.31e-06+0.00e+00j
5.45e-05-5.12e-05j,-1.16e-05+3.36e-05j,-6.02e-05+1.72e-04j,-6.53e-04-2.66e-04j,-4.46e-05+7.15e-05j,-2.27e-04+5.18e-04j,5.81e-05-4.52e-05j,1.31e-06+0.00e+00j
6.97e-05+1.03e-04j,5.24e-05-3.05e-05j,8.41e-05+2.27e-06j,-6.48e-05-1.21e-06j,-3.35e-04+3.45e-06j,3.91e-04-4.27e-04j,2.41e-05-4.00e-05j,1.31e-06+0.00e+00j
-2.01e-04-7.58e-05j,4.49e-04+4.13e-04j,3.18e-05+1.29e-05j,2.51e-06+9.48e-05j,-4.33e-06+3.21e-05j,-1.97e-05-1.25e-05j,-9.81e-05+2.20e-05j,1.31e-06+0.00e+00j
1.07e-03+1.33e-03j,-3.43e-05+3.40e-06j,-2.54e-05-7.58e-06j,1.11e-04+3.31e-06j,3.00e-05+3.81e-05j,1.33e-05-3.05e-05j,9.66e-06-2.21e-05j,1.31e-06+0.00e+00j
2.87e-04+8.88e-05j,1.15e-04+2.09e-05j,6.06e-05+1.56e-05j,2.22e-05-1.41e-05j,-7.24e-05+3.36e-05j,3.24e-06+5.58e-05j,-8.84e-06+2.76e-05j,1.31e-06+0.00e+00j
7.78e-06-1.60e-05j,3.50e-05+2.80e-05j,-5.03e-04-9.90e-05j,-4.19e-05-5.51e-05j,1.43e-04+1.74e-05j,-4.15e-05-2.30e-04j,-9.60e-05-7.82e-05j,1.31e-06+0.00e+00j
4.23e-05-1.70e-05j,8.74e-06-4.27e-05j,-6.46e-05-6.87e-05j,2.61e-05-3.62e-05j,1.27e-04-2.53e-04j,2.51e-06-1.92e-04j,5.41e-05-3.61e-05j,1.31e-06+0.00e+00j
2.90e-06+9.42e-07j,-1.17e-05+3.41e-05j,-4.57e-05+6.80e-06j,-5.53e-06+1.35e-06j,1.07e-05+5.46e-06j,1.34e-04+3.49e-05j,-7.75e-06-6.84e-05j,1.31e-06+0.00e+00j
3.59e-05-9.00e-06j,-5.10e-05+1.63e-05j,-7.62e-05-1.34e-04j,-4.84e-05+3.80e-04j,-9.58e-05+9.83e-05j,2.39e-04-1.84e-04j,3.13e-05-1.63e-05j,1.31e-06+0.00e+00j
2.01e-05-6.33e-05j,1.61e-04+3.32e-04j,6.25e-05-3.28e-05j,-1.79e-05-8.52e-06j,-4.47e-05-1.75e-05j,4.54e-06+1.16e-06j,-3.42e-06-1.21e-04j,1.31e-06+0.00e+00j
-2.60e-04+6.66e-04j,-7.35e-05-7.24e-05j,-6.71e-05+9.15e-06j,1.15e-05-1.35e-05j,-2.77e-05-4.20e-05j,9.47e-05-3.49e-05j,-6.53e-05+6.36e-05j,1.31e-06+0.00e+00j
-1.88e-04-1.24e-04j,-3.40e-04+4.03e-05j,2.80e-05-8.92e-05j,-3.99e-04-1.28e-04j,-2.72e-05+2.38e-05j,-1.62e-05+5.48e-05j,-4.82e-05-1.19e-05j,1.31e-06+0.00e+00j
2.00e-04-1.64e-04j,9.49e-05+1.91e-04j,5.05e-05-3.28e-05j,-2.64e-05-4.62e-05j,2.58e-05+5.94e-05j,9.93e-06-8.09e-06j,5.24e-05-9.92e-05j,1.31e-06+0.00e+00j
2.29e-04-1.52e-04j,-2.97e-04+1.20e-04j,-2.28e-05+1.02e-05j,4.26e-05-4.21e-05j,-7.60e-05+5.22e-05j,4.18e-05-1.44e-05j,3.76e-05-8.04e-05j,1.31e-06+0.00e+00j
-3.65e-06+7.67e-05j,1.24e-05+7.48e-05j,-9.45e-05-7.50e-05j,-1.75e-04-7.03e-04j,8.73e-05+8.18e-05j,2.82e-04-4.45e-04j,1.82e-04-8.30e-05j,1.31e-06+0.00e+00j
-5.31e-06+6.95e-05j,-4.46e-05-3.75e-06j,-3.12e-05-1.60e-05j,-2.17e-04+7.53e-05j,-3.71e-06-7.29e-06j,3.56e-05-1.21e-04j,-2.32e-06+8.63e-05j,1.31e-06+0.00e+00j
7.57e-05+9.15e-05j,-2.41e-05+2.11e-05j,-1.52e-05+1.97e-06j,-5.45e-05+2.19e-04j,-5.13e-05-8.69e-06j,-7.32e-05-1.21e-05j,-7.97e-05+2.46e-05j,1.31e-06+0.00e+00j
8.90e-05+1.01e-04j,1.27e-04+2.25e-04j,5.26e-05-9.88e-06j,-9.03e-05+2.09e-05j,-5.24e-05-3.67e-05j,-2.37e-05-1.12e-05j,1.19e-05-5.68e-05j,1.31e-06+0.00e+00j
