seed,urllc_outage_ratio,average_embb_delay,average_cost,best_fitness,cv,cost_urllc
0,0.2,0.24574739728164682,0.32287369864082344,38.74484383689881,0.0,24.0
1,0.16666666666666666,0.18478191806861202,0.2590576257009727,31.086915084116722,0.0,20.0
2,0.18333333333333332,0.15770909191143456,0.26218787928905063,31.462545514686074,0.0,22.0
3,0.2,0.21018775361252715,0.3050938768062636,36.61126521675163,0.0,24.0
4,0.21666666666666667,0.17849080289059963,0.3059120681119664,36.70944817343597,0.0,26.0
5,0.2,0.16027732022287347,0.28013866011143673,33.61663921337241,0.0,24.0
6,0.18333333333333332,0.1607146155874581,0.26369064112706236,31.642876935247486,0.0,22.0
7,0.18333333333333332,0.21650009963203187,0.29158338314934923,34.99000597792191,0.0,22.0
8,0.18333333333333332,0.15108702990179515,0.2588768482842309,31.065221794107707,0.0,22.0
9,0.15,0.1561625987061104,0.22808129935305518,27.369755922366622,0.0,18.0
0,0.25,0.22936898037500555,0.36468449018750276,43.76213882250033,0.0,30.0
1,0.26666666666666666,0.2384005815279825,0.38586695743065796,46.30403489167895,0.0,32.0
0,0.2,0.16982967070310634,0.28491483535155315,34.18978024218638,0.0,24.0
1,0.16666666666666666,0.14354896946807635,0.23844115140070485,28.612938168084582,0.0,20.0
2,0.15,0.14471632118298267,0.22235816059149136,26.68297927097896,0.0,18.0
3,0.18333333333333332,0.15017654393573135,0.258421605301199,31.010592636143883,0.0,22.0
4,0.16666666666666666,0.14631184103080128,0.2398225871820673,28.77871046184808,0.0,20.0
5,0.2,0.17954941814195635,0.2897747090709782,34.77296508851738,0.0,24.0
6,0.13333333333333333,0.1443173363174385,0.2054920014920526,24.65904017904631,0.0,16.0
7,0.2,0.19266023306933333,0.2963301165346667,35.55961398416,0.0,24.0
8,0.18333333333333332,0.1440296300952381,0.2553481483809524,30.641777805714284,0.0,22.0
9,0.18333333333333332,0.15077483171372108,0.2587207491901939,31.046489902823264,0.0,22.0
